Début;Fin;Zone;Ville;Implantation;Polluant;Type;Valeur;Unité;CodeQualité;Validité
29/03/2023 00:00;29/03/2023 01:00;ZR BOURGOGNE-FRANCHE-COMTE;Dole centre;Urbaine;PM2.5;moyenne horaire validée;;µg-m3;N;-1
29/03/2023 01:00;29/03/2023 02:00;ZR BOURGOGNE-FRANCHE-COMTE;Dole centre;Urbaine;PM2.5;moyenne horaire validée;;µg-m3;N;-1
29/03/2023 02:00;29/03/2023 03:00;ZR BOURGOGNE-FRANCHE-COMTE;Dole centre;Urbaine;PM2.5;moyenne horaire validée;;µg-m3;N;-1
29/03/2023 03:00;29/03/2023 04:00;ZR BOURGOGNE-FRANCHE-COMTE;Dole centre;Urbaine;PM2.5;moyenne horaire validée;;µg-m3;N;-1
29/03/2023 04:00;29/03/2023 05:00;ZR BOURGOGNE-FRANCHE-COMTE;Dole centre;Urbaine;PM2.5;moyenne horaire validée;;µg-m3;N;-1
29/03/2023 05:00;29/03/2023 06:00;ZR BOURGOGNE-FRANCHE-COMTE;Dole centre;Urbaine;PM2.5;moyenne horaire validée;;µg-m3;N;-1
29/03/2023 06:00;29/03/2023 07:00;ZR BOURGOGNE-FRANCHE-COMTE;Dole centre;Urbaine;PM2.5;moyenne horaire validée;;µg-m3;N;-1
29/03/2023 07:00;29/03/2023 08:00;ZR BOURGOGNE-FRANCHE-COMTE;Dole centre;Urbaine;PM2.5;moyenne horaire validée;;µg-m3;N;-1
29/03/2023 08:00;29/03/2023 09:00;ZR BOURGOGNE-FRANCHE-COMTE;Dole centre;Urbaine;PM2.5;moyenne horaire validée;;µg-m3;N;-1
29/03/2023 09:00;29/03/2023 10:00;ZR BOURGOGNE-FRANCHE-COMTE;Dole centre;Urbaine;PM2.5;moyenne horaire validée;;µg-m3;N;-1
29/03/2023 10:00;29/03/2023 11:00;ZR BOURGOGNE-FRANCHE-COMTE;Dole centre;Urbaine;PM2.5;moyenne horaire validée;;µg-m3;N;-1
29/03/2023 11:00;29/03/2023 12:00;ZR BOURGOGNE-FRANCHE-COMTE;Dole centre;Urbaine;PM2.5;moyenne horaire validée;;µg-m3;N;-1
29/03/2023 12:00;29/03/2023 13:00;ZR BOURGOGNE-FRANCHE-COMTE;Dole centre;Urbaine;PM2.5;moyenne horaire validée;;µg-m3;N;-1
29/03/2023 13:00;29/03/2023 14:00;ZR BOURGOGNE-FRANCHE-COMTE;Dole centre;Urbaine;PM2.5;moyenne horaire validée;;µg-m3;N;-1
29/03/2023 14:00;29/03/2023 15:00;ZR BOURGOGNE-FRANCHE-COMTE;Dole centre;Urbaine;PM2.5;moyenne horaire validée;4.875;µg-m3;A;1
29/03/2023 15:00;29/03/2023 16:00;ZR BOURGOGNE-FRANCHE-COMTE;Dole centre;Urbaine;PM2.5;moyenne horaire validée;5.65;µg-m3;A;1
29/03/2023 16:00;29/03/2023 17:00;ZR BOURGOGNE-FRANCHE-COMTE;Dole centre;Urbaine;PM2.5;moyenne horaire validée;6.45;µg-m3;A;1
