Début;Fin;Zone;Ville;Implantation;Polluant;Type;Valeur;Unité;CodeQualité;Validité
10/10/2020 00:00;10/10/2020 01:00;ZR OCCITANIE;Montauban;Urbaine;PM2.5;moyenne horaire validée;7.6;µg/m3;A;1
10/10/2020 01:00;10/10/2020 02:00;ZR OCCITANIE;Montauban;Urbaine;PM2.5;moyenne horaire validée;7.225;µg/m3;A;1
10/10/2020 02:00;10/10/2020 03:00;ZR OCCITANIE;Montauban;Urbaine;PM2.5;moyenne horaire validée;7.15;µg/m3;A;1
10/10/2020 03:00;10/10/2020 04:00;ZR OCCITANIE;Montauban;Urbaine;PM2.5;moyenne horaire validée;7.05;µg/m3;A;1
10/10/2020 04:00;10/10/2020 05:00;ZR OCCITANIE;Montauban;Urbaine;PM2.5;moyenne horaire validée;6.8;µg/m3;A;1
10/10/2020 05:00;10/10/2020 06:00;ZR OCCITANIE;Montauban;Urbaine;PM2.5;moyenne horaire validée;5.95;µg/m3;A;1
10/10/2020 06:00;10/10/2020 07:00;ZR OCCITANIE;Montauban;Urbaine;PM2.5;moyenne horaire validée;6.5;µg/m3;A;1
10/10/2020 07:00;10/10/2020 08:00;ZR OCCITANIE;Montauban;Urbaine;PM2.5;moyenne horaire validée;7.225;µg/m3;A;1
10/10/2020 08:00;10/10/2020 09:00;ZR OCCITANIE;Montauban;Urbaine;PM2.5;moyenne horaire validée;2.225;µg/m3;A;1
10/10/2020 09:00;10/10/2020 10:00;ZR OCCITANIE;Montauban;Urbaine;PM2.5;moyenne horaire validée;1.125;µg/m3;A;1
10/10/2020 10:00;10/10/2020 11:00;ZR OCCITANIE;Montauban;Urbaine;PM2.5;moyenne horaire validée;2;µg/m3;A;1
10/10/2020 11:00;10/10/2020 12:00;ZR OCCITANIE;Montauban;Urbaine;PM2.5;moyenne horaire validée;2.375;µg/m3;A;1
10/10/2020 12:00;10/10/2020 13:00;ZR OCCITANIE;Montauban;Urbaine;PM2.5;moyenne horaire validée;2.075;µg/m3;A;1
10/10/2020 13:00;10/10/2020 14:00;ZR OCCITANIE;Montauban;Urbaine;PM2.5;moyenne horaire validée;2.125;µg/m3;A;1
10/10/2020 14:00;10/10/2020 15:00;ZR OCCITANIE;Montauban;Urbaine;PM2.5;moyenne horaire validée;2.375;µg/m3;A;1
10/10/2020 15:00;10/10/2020 16:00;ZR OCCITANIE;Montauban;Urbaine;PM2.5;moyenne horaire validée;2.7;µg/m3;A;1
10/10/2020 16:00;10/10/2020 17:00;ZR OCCITANIE;Montauban;Urbaine;PM2.5;moyenne horaire validée;4.85;µg/m3;A;1
10/10/2020 17:00;10/10/2020 18:00;ZR OCCITANIE;Montauban;Urbaine;PM2.5;moyenne horaire validée;4.575;µg/m3;A;1
10/10/2020 18:00;10/10/2020 19:00;ZR OCCITANIE;Montauban;Urbaine;PM2.5;moyenne horaire validée;6.325;µg/m3;A;1
10/10/2020 19:00;10/10/2020 20:00;ZR OCCITANIE;Montauban;Urbaine;PM2.5;moyenne horaire validée;5.3;µg/m3;A;1
10/10/2020 20:00;10/10/2020 21:00;ZR OCCITANIE;Montauban;Urbaine;PM2.5;moyenne horaire validée;5.25;µg/m3;A;1
10/10/2020 21:00;10/10/2020 22:00;ZR OCCITANIE;Montauban;Urbaine;PM2.5;moyenne horaire validée;5.225;µg/m3;A;1
10/10/2020 22:00;10/10/2020 23:00;ZR OCCITANIE;Montauban;Urbaine;PM2.5;moyenne horaire validée;4.875;µg/m3;A;1
10/10/2020 23:00;11/10/2020 00:00;ZR OCCITANIE;Montauban;Urbaine;PM2.5;moyenne horaire validée;4.85;µg/m3;A;1
11/10/2020 00:00;11/10/2020 01:00;ZR OCCITANIE;Montauban;Urbaine;PM2.5;moyenne horaire validée;4.45;µg/m3;A;1
11/10/2020 01:00;11/10/2020 02:00;ZR OCCITANIE;Montauban;Urbaine;PM2.5;moyenne horaire validée;4.675;µg/m3;A;1
11/10/2020 02:00;11/10/2020 03:00;ZR OCCITANIE;Montauban;Urbaine;PM2.5;moyenne horaire validée;4.625;µg/m3;A;1
11/10/2020 03:00;11/10/2020 04:00;ZR OCCITANIE;Montauban;Urbaine;PM2.5;moyenne horaire validée;4.675;µg/m3;A;1
11/10/2020 04:00;11/10/2020 05:00;ZR OCCITANIE;Montauban;Urbaine;PM2.5;moyenne horaire validée;4.675;µg/m3;A;1
11/10/2020 05:00;11/10/2020 06:00;ZR OCCITANIE;Montauban;Urbaine;PM2.5;moyenne horaire validée;4.5;µg/m3;A;1
11/10/2020 06:00;11/10/2020 07:00;ZR OCCITANIE;Montauban;Urbaine;PM2.5;moyenne horaire validée;4.725;µg/m3;A;1
11/10/2020 07:00;11/10/2020 08:00;ZR OCCITANIE;Montauban;Urbaine;PM2.5;moyenne horaire validée;4.7;µg/m3;A;1
11/10/2020 08:00;11/10/2020 09:00;ZR OCCITANIE;Montauban;Urbaine;PM2.5;moyenne horaire validée;5.175;µg/m3;A;1
11/10/2020 09:00;11/10/2020 10:00;ZR OCCITANIE;Montauban;Urbaine;PM2.5;moyenne horaire validée;5.45;µg/m3;A;1
11/10/2020 10:00;11/10/2020 11:00;ZR OCCITANIE;Montauban;Urbaine;PM2.5;moyenne horaire validée;5.225;µg/m3;A;1
11/10/2020 11:00;11/10/2020 12:00;ZR OCCITANIE;Montauban;Urbaine;PM2.5;moyenne horaire validée;4.275;µg/m3;A;1
11/10/2020 12:00;11/10/2020 13:00;ZR OCCITANIE;Montauban;Urbaine;PM2.5;moyenne horaire validée;3.35;µg/m3;A;1
11/10/2020 13:00;11/10/2020 14:00;ZR OCCITANIE;Montauban;Urbaine;PM2.5;moyenne horaire validée;3.1;µg/m3;A;1
11/10/2020 14:00;11/10/2020 15:00;ZR OCCITANIE;Montauban;Urbaine;PM2.5;moyenne horaire validée;2.85;µg/m3;A;1
11/10/2020 15:00;11/10/2020 16:00;ZR OCCITANIE;Montauban;Urbaine;PM2.5;moyenne horaire validée;2.925;µg/m3;A;1
11/10/2020 16:00;11/10/2020 17:00;ZR OCCITANIE;Montauban;Urbaine;PM2.5;moyenne horaire validée;4.15;µg/m3;A;1
11/10/2020 17:00;11/10/2020 18:00;ZR OCCITANIE;Montauban;Urbaine;PM2.5;moyenne horaire validée;4.2;µg/m3;A;1
